# UniKey Telex expectations, converted to keys<TAB>expected.
# Source: fcitx5-unikey, test/testunikey.cpp (expectedTelexData), commit ed9170c35c1a6275d105e03d7f9bc4f674c1469c
# SPDX-FileCopyrightText: 2021 CSSlayer <wengxt@gmail.com>
# SPDX-License-Identifier: GPL-2.0-or-later
# Rows commented out upstream are left out. Some rows encode UniKey's own
# conventions, so LibreKey is not expected to pass every one: the test gates
# on the number that pass today (OKEngineCorpusTests).
a	a
aa	â
aaa	aa
aac	âc
aacj	ậc
aacjj	âcj
aacs	ấc
aacss	âcs
aaf	ầ
aaff	âf
aaj	ậ
aajj	âj
aam	âm
aamf	ầm
aamff	âmf
aamj	ậm
aamjj	âmj
aamr	ẩm
aamrr	âmr
aams	ấm
aamss	âms
aamx	ẫm
aamxx	âmx
aan	ân
aanf	ần
aanff	ânf
aang	âng
aangf	ầng
aangff	ângf
aangj	ậng
aangjj	ângj
aangr	ẩng
aangrr	ângr
aangs	ấng
aangss	ângs
aangx	ẫng
aangxx	ângx
aanj	ận
aanjj	ânj
aanr	ẩn
aanrr	ânr
aans	ấn
aanss	âns
aanx	ẫn
aanxx	ânx
aap	âp
aapj	ập
aapjj	âpj
aaps	ấp
aapss	âps
aar	ẩ
aarr	âr
aas	ấ
aass	âs
aat	ât
aatj	ật
aatjj	âtj
aats	ất
aatss	âts
aau	âu
aauf	ầu
aauff	âuf
aauj	ậu
aaujj	âuj
aaur	ẩu
aaurr	âur
aaus	ấu
aauss	âus
aaux	ẫu
aauxx	âux
aax	ẫ
aaxx	âx
aay	ây
aayf	ầy
aayff	âyf
aayj	ậy
aayjj	âyj
aayr	ẩy
aayrr	âyr
aays	ấy
aayss	âys
aayx	ẫy
aayxx	âyx
ac	ac
ach	ach
achj	ạch
achjj	achj
achs	ách
achss	achs
acj	ạc
acjj	acj
acs	ác
acss	acs
af	à
aff	af
ai	ai
aif	ài
aiff	aif
aij	ại
aijj	aij
air	ải
airr	air
ais	ái
aiss	ais
aix	ãi
aixx	aix
aj	ạ
ajj	aj
am	am
amf	àm
amff	amf
amj	ạm
amjj	amj
amr	ảm
amrr	amr
ams	ám
amss	ams
amx	ãm
amxx	amx
an	an
anf	àn
anff	anf
ang	ang
angf	àng
angff	angf
angj	ạng
angjj	angj
angr	ảng
angrr	angr
angs	áng
angss	angs
angx	ãng
angxx	angx
anh	anh
anhf	ành
anhff	anhf
anhj	ạnh
anhjj	anhj
anhr	ảnh
anhrr	anhr
anhs	ánh
anhss	anhs
anhx	ãnh
anhxx	anhx
anj	ạn
anjj	anj
anr	ản
anrr	anr
ans	án
anss	ans
anx	ãn
anxx	anx
ao	ao
aof	ào
aoff	aof
aoj	ạo
aojj	aoj
aor	ảo
aorr	aor
aos	áo
aoss	aos
aox	ão
aoxx	aox
ap	ap
apj	ạp
apjj	apj
aps	áp
apss	aps
ar	ả
arr	ar
as	á
ass	as
at	at
atj	ạt
atjj	atj
ats	át
atss	ats
au	au
auf	àu
auff	auf
auj	ạu
aujj	auj
aur	ảu
aurr	aur
aus	áu
auss	aus
aux	ãu
auxx	aux
aw	ă
awc	ăc
awcj	ặc
awcjj	ăcj
awcs	ắc
awcss	ăcs
awf	ằ
awff	ăf
awj	ặ
awjj	ăj
awm	ăm
awmf	ằm
awmff	ămf
awmj	ặm
awmjj	ămj
awmr	ẳm
awmrr	ămr
awms	ắm
awmss	ăms
awmx	ẵm
awmxx	ămx
awn	ăn
awnf	ằn
awnff	ănf
awng	ăng
awngf	ằng
awngff	ăngf
awngj	ặng
awngjj	ăngj
awngr	ẳng
awngrr	ăngr
awngs	ắng
awngss	ăngs
awngx	ẵng
awngxx	ăngx
awnj	ặn
awnjj	ănj
awnr	ẳn
awnrr	ănr
awns	ắn
awnss	ăns
awnx	ẵn
awnxx	ănx
awp	ăp
awpj	ặp
awpjj	ăpj
awps	ắp
awpss	ăps
awr	ẳ
awrr	ăr
aws	ắ
awss	ăs
awt	ăt
awtj	ặt
awtjj	ătj
awts	ắt
awtss	ăts
aww	aw
awx	ẵ
awxx	ăx
ax	ã
axx	ax
ay	ay
ayf	ày
ayff	ayf
ayj	ạy
ayjj	ayj
ayr	ảy
ayrr	ayr
ays	áy
ayss	ays
ayx	ãy
ayxx	ayx
d	d
dd	đ
ddd	dd
e	e
ec	ec
ecj	ẹc
ecjj	ecj
ecs	éc
ecss	ecs
ee	ê
eec	êc
eech	êch
eechj	ệch
eechjj	êchj
eechs	ếch
eechss	êchs
eecj	ệc
eecjj	êcj
eecs	ếc
eecss	êcs
eee	ee
eef	ề
eeff	êf
eej	ệ
eejj	êj
eem	êm
eemf	ềm
eemff	êmf
eemj	ệm
eemjj	êmj
eemr	ểm
eemrr	êmr
eems	ếm
eemss	êms
eemx	ễm
eemxx	êmx
een	ên
eenf	ền
eenff	ênf
eeng	êng
eenh	ênh
eenhf	ềnh
eenhff	ênhf
eenhj	ệnh
eenhjj	ênhj
eenhr	ểnh
eenhrr	ênhr
eenhs	ếnh
eenhss	ênhs
eenhx	ễnh
eenhxx	ênhx
eenj	ện
eenjj	ênj
eenr	ển
eenrr	ênr
eens	ến
eenss	êns
eenx	ễn
eenxx	ênx
eep	êp
eepj	ệp
eepjj	êpj
eeps	ếp
eepss	êps
eer	ể
eerr	êr
ees	ế
eess	ês
eet	êt
eetj	ệt
eetjj	êtj
eets	ết
eetss	êts
eeu	êu
eeuf	ều
eeuff	êuf
eeuj	ệu
eeujj	êuj
eeur	ểu
eeurr	êur
eeus	ếu
eeuss	êus
eeux	ễu
eeuxx	êux
eex	ễ
eexx	êx
ef	è
eff	ef
ej	ẹ
ejj	ej
em	em
emf	èm
emff	emf
emj	ẹm
emjj	emj
emr	ẻm
emrr	emr
ems	ém
emss	ems
emx	ẽm
emxx	emx
en	en
enf	èn
enff	enf
eng	eng
engf	èng
engff	engf
engj	ẹng
engjj	engj
engr	ẻng
engrr	engr
engs	éng
engss	engs
engx	ẽng
engxx	engx
enj	ẹn
enjj	enj
enr	ẻn
enrr	enr
ens	én
enss	ens
enx	ẽn
enxx	enx
eo	eo
eof	èo
eoff	eof
eoj	ẹo
eojj	eoj
eor	ẻo
eorr	eor
eos	éo
eoss	eos
eox	ẽo
eoxx	eox
ep	ep
epj	ẹp
epjj	epj
eps	ép
epss	eps
er	ẻ
err	er
es	é
ess	es
et	et
etj	ẹt
etjj	etj
ets	ét
etss	ets
ex	ẽ
exx	ex
i	i
ia	ia
iaf	ìa
iaff	iaf
iaj	ịa
iajj	iaj
iar	ỉa
iarr	iar
ias	ía
iass	ias
iax	ĩa
iaxx	iax
ic	ic
ich	ich
ichj	ịch
ichjj	ichj
ichs	ích
ichss	ichs
if	ì
iff	if
ij	ị
ijj	ij
im	im
imf	ìm
imff	imf
imj	ịm
imjj	imj
imr	ỉm
imrr	imr
ims	ím
imss	ims
imx	ĩm
imxx	imx
in	in
inf	ìn
inff	inf
inh	inh
inhf	ình
inhff	inhf
inhj	ịnh
inhjj	inhj
inhr	ỉnh
inhrr	inhr
inhs	ính
inhss	inhs
inhx	ĩnh
inhxx	inhx
inj	ịn
injj	inj
inr	ỉn
inrr	inr
ins	ín
inss	ins
inx	ĩn
inxx	inx
ip	ip
ipj	ịp
ipjj	ipj
ips	íp
ipss	ips
ir	ỉ
irr	ir
is	í
iss	is
it	it
itj	ịt
itjj	itj
its	ít
itss	its
iu	iu
iuf	ìu
iuff	iuf
iuj	ịu
iujj	iuj
iur	ỉu
iurr	iur
ius	íu
iuss	ius
iux	ĩu
iuxx	iux
ix	ĩ
ixx	ix
huwou	hươu
o	o
oc	oc
ocj	ọc
ocjj	ocj
ocs	óc
ocss	ocs
of	ò
off	of
oi	oi
oif	òi
oiff	oif
oij	ọi
oijj	oij
oir	ỏi
oirr	oir
ois	ói
oiss	ois
oix	õi
oixx	oix
oj	ọ
ojj	oj
om	om
omf	òm
omff	omf
omj	ọm
omjj	omj
omr	ỏm
omrr	omr
oms	óm
omss	oms
omx	õm
omxx	omx
on	on
onf	òn
onff	onf
ong	ong
ongf	òng
ongff	ongf
ongj	ọng
ongjj	ongj
ongr	ỏng
ongrr	ongr
ongs	óng
ongss	ongs
ongx	õng
ongxx	ongx
onj	ọn
onjj	onj
onr	ỏn
onrr	onr
ons	ón
onss	ons
onx	õn
onxx	onx
oo	ô
ooc	ôc
oocj	ộc
oocjj	ôcj
oocs	ốc
oocss	ôcs
oof	ồ
ooff	ôf
ooi	ôi
ooif	ồi
ooiff	ôif
ooij	ội
ooijj	ôij
ooir	ổi
ooirr	ôir
oois	ối
ooiss	ôis
ooix	ỗi
ooixx	ôix
ooj	ộ
oojj	ôj
oom	ôm
oomf	ồm
oomff	ômf
oomj	ộm
oomjj	ômj
oomr	ổm
oomrr	ômr
ooms	ốm
oomss	ôms
oomx	ỗm
oomxx	ômx
oon	ôn
oonf	ồn
oonff	ônf
oong	ông
oongf	ồng
oongff	ôngf
oongj	ộng
oongjj	ôngj
oongr	ổng
oongrr	ôngr
oongs	ống
oongss	ôngs
oongx	ỗng
oongxx	ôngx
oonj	ộn
oonjj	ônj
oonr	ổn
oonrr	ônr
oons	ốn
oonss	ôns
oonx	ỗn
oonxx	ônx
ooo	oo
oooc	ooc
ooocj	oọc
ooocjj	oocj
ooocs	oóc
ooocss	oocs
ooon	oon
ooong	oong
ooongf	oòng
ooongff	oongf
ooongj	oọng
ooongjj	oongj
ooongr	oỏng
ooongrr	oongr
ooongs	oóng
ooongss	oongs
ooongx	oõng
ooongxx	oongx
oop	ôp
oopj	ộp
oopjj	ôpj
oops	ốp
oopss	ôps
oor	ổ
oorr	ôr
oos	ố
ooss	ôs
oot	ôt
ootj	ột
ootjj	ôtj
oots	ốt
ootss	ôts
oox	ỗ
ooxx	ôx
op	op
opj	ọp
opjj	opj
ops	óp
opss	ops
or	ỏ
orr	or
os	ó
oss	os
ot	ot
otj	ọt
otjj	otj
ots	ót
otss	ots
ow	ơ
owf	ờ
owff	ơf
owi	ơi
owif	ời
owiff	ơif
owij	ợi
owijj	ơij
owir	ởi
owirr	ơir
owis	ới
owiss	ơis
owix	ỡi
owixx	ơix
owj	ợ
owjj	ơj
owm	ơm
owmf	ờm
owmff	ơmf
owmj	ợm
owmjj	ơmj
owmr	ởm
owmrr	ơmr
